Time,Channel A,Channel B
(s),(mV),(V)

-5.34440184,-43.21421000,-3.84670500
-5.34106784,-47.80724000,-3.84670500
-5.33773384,-52.40028000,-3.84670500
-5.33439984,-61.58635000,-3.84670500
-5.33106584,-66.17938000,-3.84670500
-5.32773184,-66.17938000,-3.84670500
-5.32439784,-66.17938000,-3.84670500
-5.32106384,-61.58635000,-3.84670500
-5.31772984,-61.58635000,-3.84670500
-5.31439584,-56.99331000,-3.84670500
-5.31106184,-47.80724000,-3.84670500
-5.30772784,-47.80724000,-3.84670500
-5.30439384,-38.62117000,-3.84670500
-5.30105984,-29.43510000,-3.84670500
-5.29772584,-24.84207000,-3.84670500
-5.29439184,-20.24903000,-3.84670500
-5.29105784,-11.06296000,-3.84670500
-5.28772384,-11.06296000,-3.84670500
-5.28438984,-11.06296000,-3.89248300
-5.28105584,-11.06296000,-3.84670500
-5.27772184,-11.06296000,-3.89248300
-5.27438784,-15.65599000,-3.84670500
-5.27105384,-15.65599000,-3.89248300
-5.26771984,-20.24903000,-3.84670500
-5.26438584,-29.43510000,-3.89248300
-5.26105184,-34.02814000,-3.89248300
-5.25771784,-43.21421000,-3.89248300
-5.25438384,-47.80724000,-3.89248300
-5.25104984,-56.99331000,-3.89248300
-5.24771584,-56.99331000,-3.84670500
-5.24438184,-56.99331000,-3.89248300
-5.24104784,-56.99331000,-3.89248300
-5.23771384,-61.58635000,-3.89248300
-5.23437984,-56.99331000,-3.89248300
-5.23104584,-52.40028000,-3.89248300
-5.22771184,-52.40028000,-3.89248300
-5.22437784,-47.80724000,-3.89248300
-5.22104384,-38.62117000,-3.89248300
-5.21770984,-29.43510000,-3.89248300
-5.21437584,-24.84207000,-3.89248300
-5.21104184,-20.24903000,-3.89248300
-5.20770784,-11.06296000,-3.89248300
-5.20437384,-11.06296000,-3.89248300
-5.20103984,-6.46992300,-3.89248300
-5.19770584,-6.46992300,-3.89248300
-5.19437184,-1.87688800,-3.89248300
-5.19103784,-6.46992300,-3.89248300
-5.18770384,-6.46992300,-3.89248300
-5.18436984,-15.65599000,-3.89248300
-5.18103584,-20.24903000,-3.89248300
-5.17770184,-24.84207000,-3.89248300
-5.17436784,-29.43510000,-3.89248300
-5.17103384,-38.62117000,-3.89248300
-5.16769984,-43.21421000,-3.93810800
-5.16436584,-47.80724000,-3.89248300
-5.16103184,-47.80724000,-3.89248300
-5.15769784,-52.40028000,-3.89248300
-5.15436384,-52.40028000,-3.93810800
-5.15102984,-56.99331000,-3.89248300
-5.14769584,-56.99331000,-3.93810800
-5.14436184,-47.80724000,-3.93810800
-5.14102784,-43.21421000,-3.93810800
-5.13769384,-38.62117000,-3.93810800
-5.13435984,-29.43510000,-3.93810800
