Time,Channel A,Channel B
(s),(mV),(V)

-5.34440184,-43.21421000,-2.97860600
-5.34106784,-34.02814000,-2.97860600
-5.33773384,-29.43510000,-2.97860600
-5.33439984,-20.24903000,-2.97860600
-5.33106584,-15.65599000,-2.97860600
-5.32773184,-11.06296000,-2.97860600
-5.32439784,-11.06296000,-2.97860600
-5.32106384,-1.87688800,-2.97860600
-5.31772984,-1.87688800,-2.97860600
-5.31439584,-1.87688800,-2.97860600
-5.31106184,-1.87688800,-2.97860600
-5.30772784,-6.46992300,-2.97860600
-5.30439384,-11.06296000,-2.97860600
-5.30105984,-15.65599000,-2.97860600
-5.29772584,-24.84207000,-2.97860600
-5.29439184,-29.43510000,-3.02438400
-5.29105784,-38.62117000,-2.97860600
-5.28772384,-47.80724000,-3.02438400
-5.28438984,-47.80724000,-2.97860600
-5.28105584,-56.99331000,-3.02438400
-5.27772184,-61.58635000,-3.02438400
-5.27438784,-61.58635000,-2.97860600
-5.27105384,-66.17938000,-3.02438400
-5.26771984,-56.99331000,-3.02438400
-5.26438584,-52.40028000,-3.02438400
-5.26105184,-52.40028000,-3.02438400
-5.25771784,-47.80724000,-3.02438400
-5.25438384,-38.62117000,-3.02438400
-5.25104984,-29.43510000,-3.02438400
-5.24771584,-29.43510000,-3.02438400
-5.24438184,-20.24903000,-3.02438400
-5.24104784,-11.06296000,-3.02438400
-5.23771384,-11.06296000,-3.02438400
-5.23437984,-6.46992300,-3.02438400
-5.23104584,-1.87688800,-3.02438400
-5.22771184,-1.87688800,-3.07000900
-5.22437784,-1.87688800,-3.02438400
-5.22104384,-11.06296000,-3.07000900
-5.21770984,-11.06296000,-3.02438400
-5.21437584,-20.24903000,-3.02438400
-5.21104184,-29.43510000,-3.02438400
-5.20770784,-34.02814000,-3.07000900
-5.20437384,-38.62117000,-3.07000900
-5.20103984,-47.80724000,-3.02438400
-5.19770584,-52.40028000,-3.07000900
-5.19437184,-56.99331000,-3.07000900
-5.19103784,-61.58635000,-3.07000900
-5.18770384,-61.58635000,-3.07000900
-5.18436984,-61.58635000,-3.07000900
-5.18103584,-66.17938000,-3.07000900
-5.17770184,-56.99331000,-3.07000900
-5.17436784,-52.40028000,-3.07000900
-5.17103384,-47.80724000,-3.07000900
-5.16769984,-43.21421000,-3.07000900
-5.16436584,-34.02814000,-3.07000900
-5.16103184,-29.43510000,-3.07000900
-5.15769784,-20.24903000,-3.07000900
-5.15436384,-15.65599000,-3.07000900
-5.15102984,-11.06296000,-3.07000900
-5.14769584,-6.46992300,-3.07000900
-5.14436184,-6.46992300,-3.07000900
-5.14102784,-6.46992300,-3.07000900
-5.13769384,-11.06296000,-3.07000900
-5.13435984,-11.06296000,-3.07000900
