Time,Channel A,Channel B
(s),(mV),(V)

-5.34440184,-176.39700000,-4.07513700
-5.34106784,-176.39700000,-4.07513700
-5.33773384,-180.97480000,-4.07513700
-5.33439984,-176.39700000,-4.07513700
-5.33106584,-176.39700000,-4.07513700
-5.32773184,-176.39700000,-4.07513700
-5.32439784,-176.39700000,-4.07513700
-5.32106384,-167.21090000,-4.07513700
-5.31772984,-158.02480000,-4.07513700
-5.31439584,-158.02480000,-4.07513700
-5.31106184,-167.21090000,-4.07513700
-5.30772784,-167.21090000,-4.07513700
-5.30439384,-171.80390000,-4.07513700
-5.30105984,-167.21090000,-4.07513700
-5.29772584,-158.02480000,-4.12091400
-5.29439184,-162.61790000,-4.07513700
-5.29105784,-162.61790000,-4.07513700
-5.28772384,-167.21090000,-4.07513700
-5.28438984,-171.80390000,-4.07513700
-5.28105584,-176.39700000,-4.12091400
-5.27772184,-180.97480000,-4.12091400
-5.27438784,-185.56780000,-4.07513700
-5.27105384,-185.56780000,-4.07513700
-5.26771984,-180.97480000,-4.07513700
-5.26438584,-180.97480000,-4.07513700
-5.26105184,-185.56780000,-4.07513700
-5.25771784,-194.75390000,-4.07513700
-5.25438384,-190.16080000,-4.07513700
-5.25104984,-190.16080000,-4.07513700
-5.24771584,-190.16080000,-4.07513700
-5.24438184,-190.16080000,-4.07513700
-5.24104784,-185.56780000,-4.07513700
-5.23771384,-176.39700000,-4.07513700
-5.23437984,-176.39700000,-4.07513700
-5.23104584,-180.97480000,-4.07513700
-5.22771184,-180.97480000,-4.07513700
-5.22437784,-185.56780000,-4.07513700
-5.22104384,-176.39700000,-4.12091400
-5.21770984,-167.21090000,-4.07513700
-5.21437584,-171.80390000,-4.07513700
-5.21104184,-176.39700000,-4.07513700
-5.20770784,-176.39700000,-4.12091400
-5.20437384,-176.39700000,-4.07513700
-5.20103984,-185.56780000,-4.07513700
-5.19770584,-190.16080000,-4.07513700
-5.19437184,-190.16080000,-4.07513700
-5.19103784,-190.16080000,-4.12091400
-5.18770384,-185.56780000,-4.07513700
-5.18436984,-185.56780000,-4.07513700
-5.18103584,-194.75390000,-4.07513700
-5.17770184,-203.93990000,-4.07513700
-5.17436784,-199.34690000,-4.07513700
-5.17103384,-199.34690000,-4.12091400
-5.16769984,-199.34690000,-4.07513700
-5.16436584,-194.75390000,-4.07513700
-5.16103184,-194.75390000,-4.12091400
-5.15769784,-194.75390000,-4.12091400
-5.15436384,-194.75390000,-4.07513700
-5.15102984,-194.75390000,-4.07513700
-5.14769584,-194.75390000,-4.07513700
-5.14436184,-199.34690000,-4.07513700
-5.14102784,-190.16080000,-4.07513700
-5.13769384,-180.97480000,-4.07513700
-5.13435984,-185.56780000,-4.07513700
