Time,Channel A,Channel B
(s),(mV),(V)

-5.34440184,7.30918300,-4.12091400
-5.34106784,7.30918300,-4.07513700
-5.33773384,11.90222000,-4.07513700
-5.33439984,11.90222000,-4.07513700
-5.33106584,7.30918300,-4.07513700
-5.32773184,7.30918300,-4.12091400
-5.32439784,7.30918300,-4.07513700
-5.32106384,-1.87688800,-4.12091400
-5.31772984,-11.06296000,-4.07513700
-5.31439584,-15.65599000,-4.07513700
-5.31106184,-20.24903000,-4.07513700
-5.30772784,-29.43510000,-4.12091400
-5.30439384,-38.62117000,-4.07513700
-5.30105984,-43.21421000,-4.12091400
-5.29772584,-47.80724000,-4.12091400
-5.29439184,-47.80724000,-4.07513700
-5.29105784,-52.40028000,-4.12091400
-5.28772384,-52.40028000,-4.07513700
-5.28438984,-47.80724000,-4.07513700
-5.28105584,-47.80724000,-4.07513700
-5.27772184,-43.21421000,-4.07513700
-5.27438784,-38.62117000,-4.07513700
-5.27105384,-29.43510000,-4.07513700
-5.26771984,-29.43510000,-4.07513700
-5.26438584,-15.65599000,-4.07513700
-5.26105184,-11.06296000,-4.07513700
-5.25771784,-1.87688800,-4.12091400
-5.25438384,2.71614700,-4.07513700
-5.25104984,7.30918300,-4.07513700
-5.24771584,7.30918300,-4.07513700
-5.24438184,11.90222000,-4.07513700
-5.24104784,7.30918300,-4.07513700
-5.23771384,7.30918300,-4.07513700
-5.23437984,7.30918300,-4.12091400
-5.23104584,-1.87688800,-4.07513700
-5.22771184,-11.06296000,-4.07513700
-5.22437784,-11.06296000,-4.07513700
-5.22104384,-24.84207000,-4.07513700
-5.21770984,-29.43510000,-4.07513700
-5.21437584,-34.02814000,-4.07513700
-5.21104184,-38.62117000,-4.07513700
-5.20770784,-47.80724000,-4.07513700
-5.20437384,-52.40028000,-4.07513700
-5.20103984,-52.40028000,-4.07513700
-5.19770584,-56.99331000,-4.07513700
-5.19437184,-56.99331000,-4.07513700
-5.19103784,-52.40028000,-4.07513700
-5.18770384,-47.80724000,-4.07513700
-5.18436984,-43.21421000,-4.07513700
-5.18103584,-34.02814000,-4.07513700
-5.17770184,-29.43510000,-4.12091400
-5.17436784,-24.84207000,-4.12091400
-5.17103384,-20.24903000,-4.07513700
-5.16769984,-11.06296000,-4.07513700
-5.16436584,-1.87688800,-4.12091400
-5.16103184,-1.87688800,-4.12091400
-5.15769784,2.71614700,-4.12091400
-5.15436384,7.30918300,-4.07513700
-5.15102984,7.30918300,-4.07513700
-5.14769584,7.30918300,-4.07513700
-5.14436184,-1.87688800,-4.07513700
-5.14102784,-1.87688800,-4.07513700
-5.13769384,-11.06296000,-4.07513700
-5.13435984,-15.65599000,-4.07513700
-5.13102584,-24.84207000,-4.07513700
