Time,Channel A,Channel B
(s),(mV),(V)

-5.34440184,-1.87688800,-4.02951100
-5.34106784,-1.87688800,-4.07513700
-5.33773384,2.71614700,-4.02951100
-5.33439984,-1.87688800,-4.07513700
-5.33106584,2.71614700,-4.07513700
-5.32773184,7.30918300,-4.02951100
-5.32439784,2.71614700,-4.02951100
-5.32106384,-1.87688800,-4.07513700
-5.31772984,-11.06296000,-4.02951100
-5.31439584,-1.87688800,-4.07513700
-5.31106184,-1.87688800,-4.07513700
-5.30772784,-1.87688800,-4.07513700
-5.30439384,-6.46992300,-4.07513700
-5.30105984,-6.46992300,-4.07513700
-5.29772584,-6.46992300,-4.07513700
-5.29439184,-11.06296000,-4.07513700
-5.29105784,-6.46992300,-4.07513700
-5.28772384,-11.06296000,-4.07513700
-5.28438984,-6.46992300,-4.07513700
-5.28105584,-1.87688800,-4.07513700
-5.27772184,2.71614700,-4.07513700
-5.27438784,2.71614700,-4.07513700
-5.27105384,-1.87688800,-4.07513700
-5.26771984,-1.87688800,-4.07513700
-5.26438584,-1.87688800,-4.07513700
-5.26105184,2.71614700,-4.07513700
-5.25771784,2.71614700,-4.07513700
-5.25438384,2.71614700,-4.07513700
-5.25104984,2.71614700,-4.07513700
-5.24771584,2.71614700,-4.07513700
-5.24438184,-1.87688800,-4.07513700
-5.24104784,-6.46992300,-4.07513700
-5.23771384,-6.46992300,-4.07513700
-5.23437984,-11.06296000,-4.07513700
-5.23104584,-6.46992300,-4.07513700
-5.22771184,-6.46992300,-4.07513700
-5.22437784,-6.46992300,-4.07513700
-5.22104384,-11.06296000,-4.07513700
-5.21770984,-15.65599000,-4.07513700
-5.21437584,-11.06296000,-4.12091400
-5.21104184,-15.65599000,-4.12091400
-5.20770784,-11.06296000,-4.12091400
-5.20437384,-15.65599000,-4.12091400
-5.20103984,-6.46992300,-4.12091400
-5.19770584,-6.46992300,-4.12091400
-5.19437184,-6.46992300,-4.12091400
-5.19103784,-6.46992300,-4.07513700
-5.18770384,-11.06296000,-4.12091400
-5.18436984,-6.46992300,-4.12091400
-5.18103584,-1.87688800,-4.12091400
-5.17770184,-1.87688800,-4.12091400
-5.17436784,-1.87688800,-4.12091400
-5.17103384,-1.87688800,-4.12091400
-5.16769984,-6.46992300,-4.07513700
-5.16436584,-6.46992300,-4.12091400
-5.16103184,-6.46992300,-4.12091400
-5.15769784,-11.06296000,-4.12091400
-5.15436384,-11.06296000,-4.12091400
-5.15102984,-11.06296000,-4.12091400
-5.14769584,-1.87688800,-4.16654000
-5.14436184,-1.87688800,-4.12091400
-5.14102784,-11.06296000,-4.12091400
-5.13769384,-15.65599000,-4.16654000
-5.13435984,-11.06296000,-4.12091400
-5.13102584,-11.06296000,-4.16654000
