Time,Channel A,Channel B
(s),(mV),(V)

-5.34440184,-176.39700000,-4.12091400
-5.34106784,-176.39700000,-4.07513700
-5.33773384,-176.39700000,-4.07513700
-5.33439984,-176.39700000,-4.07513700
-5.33106584,-176.39700000,-4.07513700
-5.32773184,-167.21090000,-4.07513700
-5.32439784,-158.02480000,-4.12091400
-5.32106384,-158.02480000,-4.07513700
-5.31772984,-162.61790000,-4.07513700
-5.31439584,-162.61790000,-4.07513700
-5.31106184,-167.21090000,-4.07513700
-5.30772784,-167.21090000,-4.07513700
-5.30439384,-167.21090000,-4.07513700
-5.30105984,-167.21090000,-4.07513700
-5.29772584,-171.80390000,-4.07513700
-5.29439184,-171.80390000,-4.07513700
-5.29105784,-176.39700000,-4.07513700
-5.28772384,-180.97480000,-4.07513700
-5.28438984,-194.75390000,-4.07513700
-5.28105584,-190.16080000,-4.07513700
-5.27772184,-190.16080000,-4.12091400
-5.27438784,-190.16080000,-4.07513700
-5.27105384,-190.16080000,-4.07513700
-5.26771984,-194.75390000,-4.12091400
-5.26438584,-194.75390000,-4.07513700
-5.26105184,-190.16080000,-4.07513700
-5.25771784,-194.75390000,-4.07513700
-5.25438384,-190.16080000,-4.07513700
-5.25104984,-190.16080000,-4.07513700
-5.24771584,-180.97480000,-4.07513700
-5.24438184,-171.80390000,-4.12091400
-5.24104784,-171.80390000,-4.07513700
-5.23771384,-171.80390000,-4.07513700
-5.23437984,-176.39700000,-4.07513700
-5.23104584,-176.39700000,-4.07513700
-5.22771184,-167.21090000,-4.07513700
-5.22437784,-162.61790000,-4.12091400
-5.22104384,-167.21090000,-4.07513700
-5.21770984,-167.21090000,-4.07513700
-5.21437584,-176.39700000,-4.07513700
-5.21104184,-176.39700000,-4.07513700
-5.20770784,-180.97480000,-4.12091400
-5.20437384,-185.56780000,-4.07513700
-5.20103984,-185.56780000,-4.07513700
-5.19770584,-180.97480000,-4.07513700
-5.19437184,-185.56780000,-4.07513700
-5.19103784,-185.56780000,-4.07513700
-5.18770384,-194.75390000,-4.12091400
-5.18436984,-194.75390000,-4.07513700
-5.18103584,-194.75390000,-4.07513700
-5.17770184,-194.75390000,-4.07513700
-5.17436784,-190.16080000,-4.07513700
-5.17103384,-190.16080000,-4.07513700
-5.16769984,-185.56780000,-4.07513700
-5.16436584,-176.39700000,-4.07513700
-5.16103184,-176.39700000,-4.07513700
-5.15769784,-176.39700000,-4.12091400
-5.15436384,-176.39700000,-4.07513700
-5.15102984,-176.39700000,-4.07513700
-5.14769584,-171.80390000,-4.07513700
-5.14436184,-162.61790000,-4.12091400
-5.14102784,-162.61790000,-4.12091400
-5.13769384,-167.21090000,-4.07513700
-5.13435984,-167.21090000,-4.07513700
