Time,Channel A,Channel B
(s),(mV),(V)

-4.90431384,-66.17938000,-4.07513700
-4.90097984,-47.80724000,-4.07513700
-4.89764584,-43.21421000,-4.07513700
-4.89431184,-43.21421000,-4.07513700
-4.89097784,-34.02814000,-4.07513700
-4.88764384,-24.84207000,-4.07513700
-4.88430984,-29.43510000,-4.07513700
-4.88097584,-38.62117000,-4.07513700
-4.87764184,-47.80724000,-4.12091400
-4.87430784,-56.99331000,-4.07513700
-4.87097384,-66.17938000,-4.12091400
-4.86763984,-75.36546000,-4.07513700
-4.86430584,-93.72234000,-4.07513700
-4.86097184,-102.90840000,-4.07513700
-4.85763784,-116.68750000,-4.07513700
-4.85430384,-121.28050000,-4.07513700
-4.85096984,-130.46660000,-4.12091400
-4.84763584,-139.65270000,-4.12091400
-4.84430184,-139.65270000,-4.07513700
-4.84096784,-139.65270000,-4.07513700
-4.83763384,-125.87360000,-4.07513700
-4.83429984,-121.28050000,-4.07513700
-4.83096584,-112.09450000,-4.07513700
-4.82763184,-102.90840000,-4.07513700
-4.82429784,-84.53626000,-4.07513700
-4.82096384,-70.77242000,-4.07513700
-4.81762984,-61.58635000,-4.07513700
-4.81429584,-47.80724000,-4.07513700
-4.81096184,-38.62117000,-4.07513700
-4.80762784,-29.43510000,-4.07513700
-4.80429384,-20.24903000,-4.12091400
-4.80095984,-11.06296000,-4.07513700
-4.79762584,-11.06296000,-4.07513700
-4.79429184,-15.65599000,-4.12091400
-4.79095784,-20.24903000,-4.07513700
-4.78762384,-24.84207000,-4.07513700
-4.78428984,-34.02814000,-4.12091400
-4.78095584,-47.80724000,-4.07513700
-4.77762184,-61.58635000,-4.07513700
-4.77428783,-75.36546000,-4.07513700
-4.77095383,-84.53626000,-4.07513700
-4.76761983,-102.90840000,-4.07513700
-4.76428583,-112.09450000,-4.07513700
-4.76095183,-121.28050000,-4.07513700
-4.75761783,-125.87360000,-4.07513700
-4.75428383,-121.28050000,-4.07513700
-4.75094983,-125.87360000,-4.07513700
-4.74761583,-130.46660000,-4.07513700
-4.74428183,-121.28050000,-4.07513700
-4.74094783,-112.09450000,-4.07513700
-4.73761383,-93.72234000,-4.12091400
-4.73427983,-84.53626000,-4.07513700
-4.73094583,-75.36546000,-4.07513700
-4.72761183,-66.17938000,-4.07513700
-4.72427783,-47.80724000,-4.07513700
-4.72094383,-29.43510000,-4.12091400
-4.71760983,-29.43510000,-4.07513700
-4.71427583,-20.24903000,-4.07513700
-4.71094183,-15.65599000,-4.07513700
-4.70760783,-11.06296000,-4.07513700
-4.70427383,-11.06296000,-4.07513700
-4.70093983,-15.65599000,-4.07513700
-4.69760583,-29.43510000,-4.07513700
-4.69427183,-38.62117000,-4.07513700
-4.69093783,-47.80724000,-4.12091400
-4.68760383,-56.99331000,-4.07513700
-4.68426983,-75.36546000,-4.07513700
-4.68093583,-93.72234000,-4.07513700
-4.67760183,-102.90840000,-4.07513700
-4.67426783,-116.68750000,-4.07513700
-4.67093383,-121.28050000,-4.07513700
-4.66759983,-135.05970000,-4.07513700
-4.66426583,-139.65270000,-4.07513700
-4.66093183,-139.65270000,-4.07513700
-4.65759783,-135.05970000,-4.07513700
-4.65426383,-130.46660000,-4.07513700
-4.65092983,-121.28050000,-4.07513700
-4.64759583,-121.28050000,-4.07513700
-4.64426183,-102.90840000,-4.07513700
-4.64092783,-89.12930000,-4.12091400
-4.63759383,-75.36546000,-4.07513700
-4.63425983,-61.58635000,-4.07513700
