Time,Channel A,Channel B
(s),(mV),(V)

-5.34440184,-29.43510000,-4.12091400
-5.34106784,-29.43510000,-4.07513700
-5.33773384,-20.24903000,-4.07513700
-5.33439984,-15.65599000,-4.12091400
-5.33106584,-6.46992300,-4.12091400
-5.32773184,2.71614700,-4.07513700
-5.32439784,7.30918300,-4.07513700
-5.32106384,11.90222000,-4.07513700
-5.31772984,16.47999000,-4.07513700
-5.31439584,21.05777000,-4.12091400
-5.31106184,25.65080000,-4.07513700
-5.30772784,25.65080000,-4.07513700
-5.30439384,30.24384000,-4.07513700
-5.30105984,30.24384000,-4.07513700
-5.29772584,25.65080000,-4.12091400
-5.29439184,25.65080000,-4.07513700
-5.29105784,16.47999000,-4.07513700
-5.28772384,7.30918300,-4.07513700
-5.28438984,-1.87688800,-4.07513700
-5.28105584,-6.46992300,-4.07513700
-5.27772184,-11.06296000,-4.07513700
-5.27438784,-20.24903000,-4.07513700
-5.27105384,-24.84207000,-4.07513700
-5.26771984,-29.43510000,-4.07513700
-5.26438584,-34.02814000,-4.07513700
-5.26105184,-34.02814000,-4.07513700
-5.25771784,-34.02814000,-4.07513700
-5.25438384,-29.43510000,-4.07513700
-5.25104984,-24.84207000,-4.07513700
-5.24771584,-15.65599000,-4.07513700
-5.24438184,-11.06296000,-4.07513700
-5.24104784,-6.46992300,-4.07513700
-5.23771384,-1.87688800,-4.07513700
-5.23437984,7.30918300,-4.07513700
-5.23104584,11.90222000,-4.07513700
-5.22771184,21.05777000,-4.12091400
-5.22437784,25.65080000,-4.07513700
-5.22104384,25.65080000,-4.07513700
-5.21770984,25.65080000,-4.07513700
-5.21437584,25.65080000,-4.07513700
-5.21104184,21.05777000,-4.07513700
-5.20770784,11.90222000,-4.07513700
-5.20437384,7.30918300,-4.07513700
-5.20103984,7.30918300,-4.12091400
-5.19770584,2.71614700,-4.07513700
-5.19437184,-11.06296000,-4.07513700
-5.19103784,-15.65599000,-4.12091400
-5.18770384,-29.43510000,-4.07513700
-5.18436984,-34.02814000,-4.07513700
-5.18103584,-34.02814000,-4.07513700
-5.17770184,-38.62117000,-4.07513700
-5.17436784,-38.62117000,-4.07513700
-5.17103384,-34.02814000,-4.07513700
-5.16769984,-34.02814000,-4.07513700
-5.16436584,-29.43510000,-4.07513700
-5.16103184,-29.43510000,-4.07513700
-5.15769784,-20.24903000,-4.07513700
-5.15436384,-11.06296000,-4.07513700
-5.15102984,-1.87688800,-4.07513700
-5.14769584,7.30918300,-4.12091400
-5.14436184,11.90222000,-4.07513700
-5.14102784,21.05777000,-4.07513700
-5.13769384,21.05777000,-4.07513700
-5.13435984,21.05777000,-4.12091400
-5.13102584,21.05777000,-4.07513700
-5.12769184,21.05777000,-4.07513700
