Time,Channel A,Channel B
(s),(mV),(V)

-5.34440184,-38.62117000,-3.75530300
-5.34106784,-29.43510000,-3.75530300
-5.33773384,-29.43510000,-3.75530300
-5.33439984,-29.43510000,-3.75530300
-5.33106584,-29.43510000,-3.75530300
-5.32773184,-29.43510000,-3.75530300
-5.32439784,-29.43510000,-3.75530300
-5.32106384,-38.62117000,-3.75530300
-5.31772984,-43.21421000,-3.75530300
-5.31439584,-47.80724000,-3.80108000
-5.31106184,-56.99331000,-3.75530300
-5.30772784,-61.58635000,-3.80108000
-5.30439384,-75.36546000,-3.80108000
-5.30105984,-79.95850000,-3.80108000
-5.29772584,-84.53626000,-3.75530300
-5.29439184,-93.72234000,-3.75530300
-5.29105784,-93.72234000,-3.75530300
-5.28772384,-93.72234000,-3.80108000
-5.28438984,-102.90840000,-3.80108000
-5.28105584,-93.72234000,-3.80108000
-5.27772184,-89.12930000,-3.80108000
-5.27438784,-84.53626000,-3.80108000
-5.27105384,-79.95850000,-3.80108000
-5.26771984,-70.77242000,-3.80108000
-5.26438584,-61.58635000,-3.80108000
-5.26105184,-56.99331000,-3.80108000
-5.25771784,-47.80724000,-3.80108000
-5.25438384,-43.21421000,-3.80108000
-5.25104984,-34.02814000,-3.80108000
-5.24771584,-29.43510000,-3.80108000
-5.24438184,-29.43510000,-3.84670500
-5.24104784,-29.43510000,-3.80108000
-5.23771384,-29.43510000,-3.80108000
-5.23437984,-29.43510000,-3.80108000
-5.23104584,-34.02814000,-3.80108000
-5.22771184,-43.21421000,-3.80108000
-5.22437784,-47.80724000,-3.80108000
-5.22104384,-56.99331000,-3.80108000
-5.21770984,-66.17938000,-3.80108000
-5.21437584,-70.77242000,-3.84670500
-5.21104184,-79.95850000,-3.80108000
-5.20770784,-84.53626000,-3.84670500
-5.20437384,-84.53626000,-3.84670500
-5.20103984,-89.12930000,-3.84670500
-5.19770584,-89.12930000,-3.84670500
-5.19437184,-93.72234000,-3.80108000
-5.19103784,-93.72234000,-3.84670500
-5.18770384,-84.53626000,-3.84670500
-5.18436984,-79.95850000,-3.84670500
-5.18103584,-75.36546000,-3.84670500
-5.17770184,-66.17938000,-3.84670500
-5.17436784,-56.99331000,-3.84670500
-5.17103384,-47.80724000,-3.84670500
-5.16769984,-38.62117000,-3.84670500
-5.16436584,-29.43510000,-3.84670500
-5.16103184,-24.84207000,-3.84670500
-5.15769784,-24.84207000,-3.84670500
-5.15436384,-24.84207000,-3.84670500
-5.15102984,-20.24903000,-3.84670500
-5.14769584,-20.24903000,-3.84670500
-5.14436184,-24.84207000,-3.84670500
-5.14102784,-29.43510000,-3.84670500
-5.13769384,-34.02814000,-3.84670500
-5.13435984,-38.62117000,-3.84670500
