Time,Channel A,Channel B
(s),(mV),(V)

-5.34440184,-66.17938000,-4.07513700
-5.34106784,-61.58635000,-4.07513700
-5.33773384,-56.99331000,-4.07513700
-5.33439984,-47.80724000,-4.07513700
-5.33106584,-43.21421000,-4.12091400
-5.32773184,-38.62117000,-4.12091400
-5.32439784,-29.43510000,-4.07513700
-5.32106384,-29.43510000,-4.07513700
-5.31772984,-20.24903000,-4.07513700
-5.31439584,-15.65599000,-4.07513700
-5.31106184,-15.65599000,-4.07513700
-5.30772784,-11.06296000,-4.12091400
-5.30439384,-11.06296000,-4.07513700
-5.30105984,-11.06296000,-4.07513700
-5.29772584,-15.65599000,-4.12091400
-5.29439184,-20.24903000,-4.07513700
-5.29105784,-29.43510000,-4.07513700
-5.28772384,-34.02814000,-4.07513700
-5.28438984,-38.62117000,-4.07513700
-5.28105584,-47.80724000,-4.07513700
-5.27772184,-52.40028000,-4.07513700
-5.27438784,-56.99331000,-4.07513700
-5.27105384,-61.58635000,-4.07513700
-5.26771984,-66.17938000,-4.07513700
-5.26438584,-66.17938000,-4.07513700
-5.26105184,-66.17938000,-4.12091400
-5.25771784,-66.17938000,-4.07513700
-5.25438384,-61.58635000,-4.12091400
-5.25104984,-56.99331000,-4.07513700
-5.24771584,-47.80724000,-4.07513700
-5.24438184,-47.80724000,-4.07513700
-5.24104784,-47.80724000,-4.07513700
-5.23771384,-34.02814000,-4.07513700
-5.23437984,-29.43510000,-4.07513700
-5.23104584,-24.84207000,-4.07513700
-5.22771184,-15.65599000,-4.07513700
-5.22437784,-11.06296000,-4.07513700
-5.22104384,-6.46992300,-4.07513700
-5.21770984,-11.06296000,-4.07513700
-5.21437584,-11.06296000,-4.07513700
-5.21104184,-11.06296000,-4.07513700
-5.20770784,-20.24903000,-4.12091400
-5.20437384,-15.65599000,-4.07513700
-5.20103984,-24.84207000,-4.07513700
-5.19770584,-29.43510000,-4.12091400
-5.19437184,-38.62117000,-4.07513700
-5.19103784,-43.21421000,-4.07513700
-5.18770384,-47.80724000,-4.07513700
-5.18436984,-56.99331000,-4.07513700
-5.18103584,-56.99331000,-4.07513700
-5.17770184,-56.99331000,-4.07513700
-5.17436784,-61.58635000,-4.07513700
-5.17103384,-61.58635000,-4.07513700
-5.16769984,-61.58635000,-4.12091400
-5.16436584,-56.99331000,-4.07513700
-5.16103184,-52.40028000,-4.07513700
-5.15769784,-47.80724000,-4.07513700
-5.15436384,-43.21421000,-4.07513700
-5.15102984,-34.02814000,-4.07513700
-5.14769584,-29.43510000,-4.07513700
-5.14436184,-24.84207000,-4.07513700
-5.14102784,-15.65599000,-4.07513700
-5.13769384,-11.06296000,-4.07513700
-5.13435984,-11.06296000,-4.07513700
