Time,Channel A,Channel B
(s),(mV),(V)

-5.34440184,-1.87688800,-4.07513700
-5.34106784,-6.46992300,-4.07513700
-5.33773384,-11.06296000,-4.12091400
-5.33439984,-11.06296000,-4.07513700
-5.33106584,-20.24903000,-4.07513700
-5.32773184,-29.43510000,-4.07513700
-5.32439784,-47.80724000,-4.07513700
-5.32106384,-52.40028000,-4.07513700
-5.31772984,-61.58635000,-4.07513700
-5.31439584,-66.17938000,-4.07513700
-5.31106184,-66.17938000,-4.07513700
-5.30772784,-75.36546000,-4.07513700
-5.30439384,-79.95850000,-4.07513700
-5.30105984,-79.95850000,-4.07513700
-5.29772584,-75.36546000,-4.07513700
-5.29439184,-75.36546000,-4.07513700
-5.29105784,-61.58635000,-4.07513700
-5.28772384,-56.99331000,-4.07513700
-5.28438984,-47.80724000,-4.07513700
-5.28105584,-38.62117000,-4.07513700
-5.27772184,-29.43510000,-4.07513700
-5.27438784,-20.24903000,-4.12091400
-5.27105384,-11.06296000,-4.07513700
-5.26771984,-1.87688800,-4.07513700
-5.26438584,2.71614700,-4.07513700
-5.26105184,7.30918300,-4.07513700
-5.25771784,7.30918300,-4.07513700
-5.25438384,7.30918300,-4.07513700
-5.25104984,2.71614700,-4.07513700
-5.24771584,-1.87688800,-4.07513700
-5.24438184,-11.06296000,-4.07513700
-5.24104784,-20.24903000,-4.07513700
-5.23771384,-29.43510000,-4.07513700
-5.23437984,-34.02814000,-4.07513700
-5.23104584,-47.80724000,-4.07513700
-5.22771184,-52.40028000,-4.07513700
-5.22437784,-61.58635000,-4.07513700
-5.22104384,-66.17938000,-4.07513700
-5.21770984,-70.77242000,-4.07513700
-5.21437584,-70.77242000,-4.07513700
-5.21104184,-66.17938000,-4.07513700
-5.20770784,-66.17938000,-4.12091400
-5.20437384,-56.99331000,-4.07513700
-5.20103984,-47.80724000,-4.07513700
-5.19770584,-43.21421000,-4.07513700
-5.19437184,-38.62117000,-4.07513700
-5.19103784,-24.84207000,-4.07513700
-5.18770384,-15.65599000,-4.12091400
-5.18436984,-1.87688800,-4.07513700
-5.18103584,7.30918300,-4.07513700
-5.17770184,7.30918300,-4.07513700
-5.17436784,16.47999000,-4.07513700
-5.17103384,11.90222000,-4.07513700
-5.16769984,16.47999000,-4.07513700
-5.16436584,7.30918300,-4.07513700
-5.16103184,7.30918300,-4.07513700
-5.15769784,-1.87688800,-4.07513700
-5.15436384,-1.87688800,-4.07513700
-5.15102984,-15.65599000,-4.07513700
-5.14769584,-29.43510000,-4.07513700
-5.14436184,-38.62117000,-4.07513700
-5.14102784,-43.21421000,-4.07513700
-5.13769384,-47.80724000,-4.07513700
-5.13435984,-56.99331000,-4.07513700
-5.13102584,-56.99331000,-4.12091400
