Time,Channel A,Channel B
(s),(mV),(V)

-5.34440184,-20.24903000,-4.07513700
-5.34106784,-24.84207000,-4.07513700
-5.33773384,-24.84207000,-4.07513700
-5.33439984,-29.43510000,-4.07513700
-5.33106584,-29.43510000,-4.07513700
-5.32773184,-29.43510000,-4.07513700
-5.32439784,-29.43510000,-4.07513700
-5.32106384,-24.84207000,-4.07513700
-5.31772984,-20.24903000,-4.07513700
-5.31439584,-24.84207000,-4.07513700
-5.31106184,-20.24903000,-4.07513700
-5.30772784,-20.24903000,-4.07513700
-5.30439384,-15.65599000,-4.12091400
-5.30105984,-11.06296000,-4.07513700
-5.29772584,-1.87688800,-4.12091400
-5.29439184,-6.46992300,-4.07513700
-5.29105784,-6.46992300,-4.12091400
-5.28772384,-1.87688800,-4.07513700
-5.28438984,-1.87688800,-4.07513700
-5.28105584,-1.87688800,-4.07513700
-5.27772184,-1.87688800,-4.07513700
-5.27438784,-6.46992300,-4.07513700
-5.27105384,-1.87688800,-4.07513700
-5.26771984,-6.46992300,-4.07513700
-5.26438584,-6.46992300,-4.07513700
-5.26105184,-15.65599000,-4.07513700
-5.25771784,-15.65599000,-4.07513700
-5.25438384,-20.24903000,-4.07513700
-5.25104984,-24.84207000,-4.12091400
-5.24771584,-24.84207000,-4.07513700
-5.24438184,-29.43510000,-4.07513700
-5.24104784,-29.43510000,-4.07513700
-5.23771384,-29.43510000,-4.12091400
-5.23437984,-34.02814000,-4.07513700
-5.23104584,-34.02814000,-4.07513700
-5.22771184,-34.02814000,-4.07513700
-5.22437784,-34.02814000,-4.07513700
-5.22104384,-29.43510000,-4.07513700
-5.21770984,-29.43510000,-4.07513700
-5.21437584,-29.43510000,-4.07513700
-5.21104184,-29.43510000,-4.07513700
-5.20770784,-20.24903000,-4.07513700
-5.20437384,-15.65599000,-4.12091400
-5.20103984,-11.06296000,-4.07513700
-5.19770584,-11.06296000,-4.07513700
-5.19437184,-11.06296000,-4.07513700
-5.19103784,-11.06296000,-4.07513700
-5.18770384,-6.46992300,-4.07513700
-5.18436984,-1.87688800,-4.12091400
-5.18103584,-6.46992300,-4.07513700
-5.17770184,-11.06296000,-4.07513700
-5.17436784,-11.06296000,-4.07513700
-5.17103384,-11.06296000,-4.07513700
-5.16769984,-11.06296000,-4.12091400
-5.16436584,-15.65599000,-4.07513700
-5.16103184,-20.24903000,-4.07513700
-5.15769784,-24.84207000,-4.07513700
-5.15436384,-29.43510000,-4.07513700
-5.15102984,-29.43510000,-4.07513700
-5.14769584,-29.43510000,-4.07513700
-5.14436184,-34.02814000,-4.07513700
-5.14102784,-34.02814000,-4.07513700
-5.13769384,-34.02814000,-4.07513700
-5.13435984,-34.02814000,-4.07513700
