Time,Channel A,Channel B
(s),(mV),(V)

-5.34440184,-1.87688800,-2.61314700
-5.34106784,7.30918300,-2.61314700
-5.33773384,2.71614700,-2.61314700
-5.33439984,2.71614700,-2.61314700
-5.33106584,2.71614700,-2.61314700
-5.32773184,-1.87688800,-2.61314700
-5.32439784,-1.87688800,-2.61314700
-5.32106384,-11.06296000,-2.61314700
-5.31772984,-20.24903000,-2.61314700
-5.31439584,-24.84207000,-2.61314700
-5.31106184,-29.43510000,-2.61314700
-5.30772784,-38.62117000,-2.65877200
-5.30439384,-47.80724000,-2.61314700
-5.30105984,-47.80724000,-2.65877200
-5.29772584,-47.80724000,-2.61314700
-5.29439184,-47.80724000,-2.61314700
-5.29105784,-52.40028000,-2.65877200
-5.28772384,-52.40028000,-2.61314700
-5.28438984,-47.80724000,-2.65877200
-5.28105584,-47.80724000,-2.61314700
-5.27772184,-38.62117000,-2.61314700
-5.27438784,-29.43510000,-2.61314700
-5.27105384,-29.43510000,-2.61314700
-5.26771984,-15.65599000,-2.65877200
-5.26438584,-11.06296000,-2.61314700
-5.26105184,-1.87688800,-2.65877200
-5.25771784,2.71614700,-2.65877200
-5.25438384,7.30918300,-2.65877200
-5.25104984,7.30918300,-2.65877200
-5.24771584,7.30918300,-2.65877200
-5.24438184,7.30918300,-2.65877200
-5.24104784,7.30918300,-2.65877200
-5.23771384,-1.87688800,-2.65877200
-5.23437984,-11.06296000,-2.65877200
-5.23104584,-15.65599000,-2.65877200
-5.22771184,-24.84207000,-2.65877200
-5.22437784,-29.43510000,-2.65877200
-5.22104384,-34.02814000,-2.65877200
-5.21770984,-38.62117000,-2.65877200
-5.21437584,-43.21421000,-2.65877200
-5.21104184,-47.80724000,-2.70455000
-5.20770784,-47.80724000,-2.70455000
-5.20437384,-52.40028000,-2.70455000
-5.20103984,-52.40028000,-2.65877200
-5.19770584,-47.80724000,-2.70455000
-5.19437184,-38.62117000,-2.70455000
-5.19103784,-38.62117000,-2.70455000
-5.18770384,-24.84207000,-2.70455000
-5.18436984,-20.24903000,-2.70455000
-5.18103584,-11.06296000,-2.70455000
-5.17770184,-11.06296000,-2.70455000
-5.17436784,-1.87688800,-2.70455000
-5.17103384,2.71614700,-2.70455000
-5.16769984,7.30918300,-2.70455000
-5.16436584,7.30918300,-2.70455000
-5.16103184,11.90222000,-2.70455000
-5.15769784,7.30918300,-2.70455000
-5.15436384,7.30918300,-2.70455000
-5.15102984,2.71614700,-2.70455000
-5.14769584,-1.87688800,-2.70455000
-5.14436184,-6.46992300,-2.70455000
-5.14102784,-15.65599000,-2.70455000
-5.13769384,-20.24903000,-2.70455000
-5.13435984,-29.43510000,-2.70455000
-5.13102584,-34.02814000,-2.70455000
