Time,Channel A,Channel B
(s),(mV),(V)

-5.34440184,-20.24903000,-4.07513700
-5.34106784,-11.06296000,-4.07513700
-5.33773384,-1.87688800,-4.07513700
-5.33439984,2.71614700,-4.07513700
-5.33106584,7.30918300,-4.07513700
-5.32773184,11.90222000,-4.07513700
-5.32439784,11.90222000,-4.07513700
-5.32106384,11.90222000,-4.07513700
-5.31772984,7.30918300,-4.07513700
-5.31439584,7.30918300,-4.07513700
-5.31106184,-1.87688800,-4.07513700
-5.30772784,-6.46992300,-4.07513700
-5.30439384,-15.65599000,-4.12091400
-5.30105984,-24.84207000,-4.12091400
-5.29772584,-29.43510000,-4.07513700
-5.29439184,-38.62117000,-4.07513700
-5.29105784,-47.80724000,-4.07513700
-5.28772384,-52.40028000,-4.07513700
-5.28438984,-61.58635000,-4.07513700
-5.28105584,-66.17938000,-4.07513700
-5.27772184,-66.17938000,-4.07513700
-5.27438784,-66.17938000,-4.12091400
-5.27105384,-66.17938000,-4.07513700
-5.26771984,-56.99331000,-4.07513700
-5.26438584,-56.99331000,-4.12091400
-5.26105184,-47.80724000,-4.07513700
-5.25771784,-43.21421000,-4.07513700
-5.25438384,-34.02814000,-4.07513700
-5.25104984,-24.84207000,-4.12091400
-5.24771584,-20.24903000,-4.07513700
-5.24438184,-11.06296000,-4.07513700
-5.24104784,-1.87688800,-4.12091400
-5.23771384,7.30918300,-4.07513700
-5.23437984,7.30918300,-4.07513700
-5.23104584,7.30918300,-4.07513700
-5.22771184,11.90222000,-4.07513700
-5.22437784,11.90222000,-4.07513700
-5.22104384,7.30918300,-4.07513700
-5.21770984,7.30918300,-4.12091400
-5.21437584,-1.87688800,-4.07513700
-5.21104184,-11.06296000,-4.07513700
-5.20770784,-15.65599000,-4.07513700
-5.20437384,-20.24903000,-4.07513700
-5.20103984,-29.43510000,-4.07513700
-5.19770584,-38.62117000,-4.07513700
-5.19437184,-47.80724000,-4.07513700
-5.19103784,-52.40028000,-4.07513700
-5.18770384,-56.99331000,-4.07513700
-5.18436984,-66.17938000,-4.12091400
-5.18103584,-66.17938000,-4.07513700
-5.17770184,-66.17938000,-4.12091400
-5.17436784,-66.17938000,-4.07513700
-5.17103384,-56.99331000,-4.07513700
-5.16769984,-52.40028000,-4.07513700
-5.16436584,-52.40028000,-4.07513700
-5.16103184,-43.21421000,-4.07513700
-5.15769784,-38.62117000,-4.12091400
-5.15436384,-29.43510000,-4.12091400
-5.15102984,-20.24903000,-4.07513700
-5.14769584,-11.06296000,-4.07513700
-5.14436184,-1.87688800,-4.07513700
-5.14102784,2.71614700,-4.12091400
-5.13769384,7.30918300,-4.07513700
-5.13435984,11.90222000,-4.12091400
-5.13102584,11.90222000,-4.07513700
